pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
address cause	2	address causes,address causes	1	causes address address address,address address address causes	2	Ursachen in Angriff nehmen,etwas unternehmen gegen Ursachen	2	Ursache in Angriff nehmen,etw. gegen Ursache unternehmen	2	Figurative,Literal
address challenge	2	address challenges,address challenges	1	address address challenges challenges,address address challenges	2	uns widmen den Herausforderungen,angegangen werden Reform	2	sich Herausforderung widmen,Reform angehen	2	Literal,Figurative
address change	2	address change,address change	1	address address change,address change change	2	Reaktion auf Veränderung,Bewältigung des Wandels	2	Reaktion auf Veränderung,Bewältigung Wandel	2	Literal,Literal
address concern	15	addressing concerns,addressed concerns,address concerns,addressed concerns,address concerns,addressed concern,address concern,addressed concerns,address concerns,address concerns,address concerns,addressing concerns,address concerns,addresses concerns,address concerns	6	addressing addressing concerns,be concerns concerns addressed addressed,address address concerns,addressed addressed addressed concerns,concerns concerns address address,were concern addressed,address concern concern,concerns addressed addressed,address address address concerns,address concerns,address concerns address address address,addressing addressing concerns,concerns address address address,concerns addresses addresses addresses addresses,address address address concerns	13	eingehen auf Fragen,NULL den Bedenken Ausdruck verleihen,eingehen auf Fragen,hat hingewiesen auf Probleme,geäußerten Bedenken sich anzunehmen,wurden Bedenken berücksichtigt,begegnen diesen Sorgen,Bedenken Rechnung getragen,zum Ausdruck bringen Anliegen,analysieren Befürchtungen,mit Bedenken sollen ausgeräumt werden,Auseinandersetzung mit Befürchtungen,Probleme können gelöst werden,Probleme werden zur Sprache gebracht,zum Gegenstand haben Interessen	14	auf Frage eingehen,auf Problem hinweisen,Bedenken Ausdruck verleihen,sich Bedenken annehmen,Bedenken berücksichtigen,Problem lösen,Befürchtung analysieren,Sorge begegnen,Bedenken Rechnung tragen,Anliegen zum Ausdruck bringen,Bedenken ausräumen,Problem zur Sprache bringen,Interesse zum Gegenstand haben,Auseinandersetzung mit Befürchtung	14	Literal,Literal,Literal,Literal,Literal,Literal,Literal,Figurative,Figurative,Literal,Figurative,Literal,Figurative,Literal
address crisis	1	addressed crisis	1	addressed addressed crisis addressed addressed	1	etwas gegen Krise getan werden	1	etw. gegen Krise tun	1	Literal
address issue	79	address issues,addressed issues,address issues,addressing issues,addressing issue,address issues,address issue,address issue,addressed issues,addressed issue,address issue,addressed issue,addressed issues,addressed issue,addressing issue,address issue,address issues,addressed issue,address issue,addressed issues,address issue,address issue,addressed issues,address issues,addresses issue,addressed issues,addressing issues,address issue,addressing issues,addressed issue,addressed issue,addressed issue,addressed issue,addressed issues,addressed issue,address issue,addressing issue,address issue,address issue,addresses issues,addressing issues,addressed issues,address issue,address issues,address issue,addressing issue,addresses issues,addressed issues,addressed issues,address issue,address issues,address issue,addressed issues,address issues,address issue,address issues,address issues,address issues,addressing issue,address issues,addressed issues,address issue,addressing issue,addressed issues,addressed issues,address issue,address issues,address issues,address issue,addresses issues,address issue,addressing issue,addressing issues,address issue,addresses issue,addressed issues,addressed issues,addressed issue,address issue	8	address address address issues,be addressed addressed issues issues,address address issues issues,addressing addressing issues,addressing issue issue,address address issues issues,address issue issue,address address address issue,addressed will be addressed addressed issues,has issue addressed,address address issue issue,is addressed addressed addressed issue,issues has been addressed addressed,addressed addressed addressed issue was,addressing addressing addressing issue,address address issue,issues issues address address,be addressed addressed addressed issue,address address address address address issue issue,be adressed adressed adressed issues,will address address issue issue,address address address issue,be issues addressed,address issues issues,issue addresses addresses addresses,issues be addressed addressed,addressing issues issues,issue address address,addressing addressing issues issues,was addressed addressed addressed issue,issue being addressed,issue will be addressed,issue issue be addressed addressed,be addressed addressed addressed issues,issue issue be addressed,address address issue issue,issue issue are addressing addressing addressing addressing addressing,address address address issue issue,address address issue,addresses addresses issues issues,addressing issues,addressed issues,address address issue,address issues,address issue issue,issue,issues issues,will be issues addressed,issues were addressed,address address issue issue,address issues,address issue issue,issues addressed addressed be,address issues,issue address address address,address address address issues,address address address issues,will address issues,addressing issue issue,issues address address address,issues be addressed,address address address issue,addressing issue,issues addressed addressed are,issues addressed,issue address address address,address issues,address address address issues,address address address address issue,addresses addresses addresses addresses issues,address address issue,addressing issue addressing,addressing addressing issues,address address issue,addresses addresses addresses issue,issues be addressed,will be addressed addressed issues addressed,have addressed addressed issue issue,address address issue issue	57	sich auseinandersetzen mit Themen,NULL uns widmen dem Problem,beschäftigen mit diesem Thema,Richtlinien zur problematik,über das handeln,sich widmen den Aspekten,ansprechen dieses Thema,sich befassen mit Punkt,es wird NULL gehen um Thema,hat Punkt angesprochen,widmen sich dieser Frage,NULL beschäftigt sich mit Thematik,Probleme haben NULL Maßnahmen ergriffen,sich beschäftigte mit Thema NULL,sich befaßt mit Problem,mich zuwenden Thema,uns zuwenden diesen Problemen,NULL uns auseinandersetzen mit Problem,suchen nach einer Lösung für dieses Problem,NULL Es geht um Aspekte,NULL mich zuwenden der Frage,uns befassen mit Thema,werden Probleme behandelt,auf fragen einzugehen,problem soll geregelt werden,Angelegenheiten sind zu klären,sich Themen zuwenden,Problem wird angegangen,beschäftigen mit den Themen,hat sich befasst mit Frage,Frage NULL anzusprechen,Frage wird NULL angesprochen,dieser Sachverhalt NULL verdient Beachtung,NULL uns beschäftigen mit Sachverhalten,Dieser Frage NULL nachgehen,verweisen auf einen Punkt,Das Thema NULL mit dem wir uns befassen,beitragen zur Lösung dieser Probleme,eingehen auf Frage,sich widmet der Thematik,behandelt Probleme,nachgegangen Argumenten,auseinandersetzen mit Gefahr,Anliegen aufgegriffen,Lösung dieses Problems,Frage,Fragen aufgreift,NULL werden Fragen angesprochen,gesichtspunkte wurden berücksichtigt,uns mit Thema befassen,angehen Fragen,sprechen zum Thema,Fragen zu behandeln sind,anzusprechen Fragen,Prozess einer Lösung zuführen,in Angriff nehmen Fragen,sich mit befassen Fragen,wird behandeln Fragen,Klärung dieser Frage,Probleme zur Sprache bringen,Probleme NULL anstehen,uns auseinandersetzen Mit Problem,anzugehen Problem,Aspekten Aufmerksamkeit geschenkt wird,Fragen angehen,Aufgabe in Angriff nehmen,löst Probleme,außer Acht lassen Themen,setzen sich auseinander mit Problem,setzt sich auseinander mit Probleme,Auseinandersetzung mit frage,greifen Frage auf,Regelung der Rechtsfragen,findet Berücksichtigung Problem,zur Sprache bringen Frage,Probleme werden besprochen,wird NULL sich mit Themen auseinandersetzen,haben uns zugewandt dem Problem,sich annehmen dieser Angelegenheit	79	sich mit Thema auseinandersetzen,sich mit Problem auseinandersetzen,Auseinandersetzung mit Frage,sich mit Gefahr auseinandersetzen,sich Problem widmen,sich Aspekt widmen,sich Frage widmen,sich Thematik widmen,sich mit Thema beschäftigen,sich mit Thematik beschäftigen,sich mit Sachverhalt beschäftigen,Thema ansprechen,sich mit Punkt befassen,sich mit Problem befassen,sich mit Thema befassen,sich mit Frage befassen,um Thema gegen,um Aspekt gehen,auf Frage eingehen,Frage angehen,Punkt ansprechen,Frage ansprechen,Problem besprechen,Frage zur Sprache bringen,Problem zur Sprache bringen,sich Thema zuwenden,sich Problem zuwenden,sich Frage zuwenden,für Problem nach Lösung suchen,Problem behandeln,Frage behandeln,sich Angelegenheit annehmen,Angelegenheit klären,Lösung des Problems,Aufgabe in Angriff nehmen,Problem lösen,Klärung Frage,Richtlinie zur Problematik,Problem regeln,Regelung Frage,Frage in Angriff nehmen,Problem angehen,Frage aufgreifen,Frage nachgehen,Argument nachgehen,zu Thema sprechen,über das Handeln,auf Punkt verweisen,zu Lösung Problem beitragen,Problem anstehen,Aspekt Aufmerksamkeit schenken,Problem Berücksichtigung finden,Beachtung verdienen,Anliegen aufgreifen,Punkt berücksichtigen,Thema außer Acht lassen,Prozess einer Lösung zuführen,auf Problem Maßnahmen ergreifen	58	Literal,Literal,Literal,Literal,Figurative,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Figurative,Literal,Figurative,Literal,Literal,Literal,Literal,Literal,Literal,Literal,Figurative,Literal,Literal,Figurative,Literal,Literal,Literal,Figurative,Literal,Literal,Literal,Literal,Literal,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Literal,Figurative,Literal,Figurative,Figurative,Literal,Figurative,Figurative,Literal,Figurative,Figurative,Figurative
address matter	4	addressed matter,addressed matters,address matter,address matter	3	addressed addressed addressed matter matter,will be matters addressed,address address matter matter,address address matter matter	3	sich befassen mit dieser Angelegenheit,werden NULL Fragen angesprochen,mich zuwenden der Verbesserung,sich widmen dieser Angelegenheit	4	sich mit Angelegenheit befassen,Frage ansprechen,sich Verbesserung zuwenden,sich Angelegenheit widmen	4	Literal,Literal,Literal,Literal
address need	6	address need,address need,address needs,addressing needs,addressed needs,address needs	4	will address need,address address need,address address needs,addressing addressing needs,addressed addressed needs,needs address address	6	werden lindern Not,es geht darum,bedacht auf Bedürfnisse,bestimmt für Bedürfnisse,werden unterstützt NULL,Bedürfnissen Rechnung tragen	6	Not lindern,es geht darum,auf Bedürfnis bedenken,Bedürfnis bestimmen,NULL unterstützen,Bedürfnis Rechnung tragen	6	Literal,Figurative,Figurative,Figurative,-,Figurative
address point	7	address points,address points,address points,address point,addressed point,addressed point,address points	3	address points,address address points,address address points,address address address point point,point is addressed,point addressed addressed addressed,address address points	5	aufzugreifen Punkte,einzugehen auf Punkte,eingehen auf Punkte,sich äußern zu diesem Punkt,Punkt wird angesprochen,aspekt sind eingegangen auf,eingehen auf Punkte	6	Punkt aufgreifen,auf Punkt eingehen,auf Aspekt eingehen,Punkt ansprechen,sich zu Punkt äußern	5	Figurative,Literal,Literal,Literal,Literal
address problem	302	address problems,address problem,addressing problem,addressed problem,address problem,address problem,address problems,address problem,addressing problems,addressing problem,address problem,addressing problem,addressing problem,address problems,address problem,addresses problem,address problem,address problem,address problem,address problem,address problems,addressing problems,addresses problem,address problem,addressed problem,address problem,addressed problem,addressing problem,addressed problems,address problem,address problems,addressing problem,addressed problems,addressing problems,addressing problem,address problems,addressed problem,address problem,address problem,address problems,addresses problem,address problem,addressed problem,addressed problem,address problems,address problems,address problem,address problem,addressing problems,address problem,addressing problems,address problem,addressed problem,addressed problem,address problem,address problems,address problems,addressed problems,address problem,address problem,address problems,address problems,address problem,addressed problems,addressed problem,address problem,addressed problem,address problem,addresses problem,address problem,address problem,addressed problems,address problem,addressing problems,address problems,addressing problems,address problems,address problems,address problem,addressed problem,address problem,address problem,address problem,addressed problem,addressed problems,address problems,address problems,addresses problem,addressed problems,address problems,addressing problems,addressing problem,address problem,addressing problems,addressed problems,address problem,address problems,addressed problem,address problem,address problems,address problems,address problem,address problems,addressing problems,address problems,address problem,address problems,addressing problems,addressed problems,address problems,addressed problems,addressed problems,addressing problems,addressing problems,address problem,address problems,address problem,address problems,address problems,address problems,addressing problem,addressing problem,address problem,address problems,address problems,addressing problems,address problem,address problem,addressing problems,address problems,address problem,address problem,address problems,address problem,address problems,addressing problem,address problem,address problems,address problems,address problems,address problems,addressing problem,addressed problems,address problem,addressing problem,address problems,address problem,addressed problem,address problems,address problems,addressed problem,address problem,addressing problems,address problem,address problems,address problems,address problems,address problem,address problem,addressed problems,address problem,address problem,addressing problem,address problem,addressing problem,address problem,addressed problems,addressed problem,address problem,address problems,address problems,address problem,address problem,addressing problems,addressing problems,address problem,address problem,address problem,addressing problem,address problems,addresses problems,address problem,addressed problem,address problems,address problem,address problems,address problems,address problems,address problems,address problem,address problems,address problems,address problem,address problems,address problem,address problems,address problem,addressed problem,address problems,addressing problem,address problems,address problem,address problems,address problem,address problems,address problem,addressed problem,address problems,addressing problem,address problem,address problems,address problems,address problems,address problem,address problems,addressed problem,address problem,address problems,addressed problem,address problem,addressed problem,address problem,address problem,addressed problems,address problem,address problems,addressed problems,addressed problem,addressing problems,addressed problem,address problem,address problems,address problem,addresses problems,address problem,address problems,addressing problems,addressed problem,addressed problem,address problems,address problems,addressed problem,address problem,address problem,address problem,addressing problem,address problem,addressed problem,address problems,address problems,addresses problem,address problems,address problem,address problem,addressed problems,address problem,address problems,address problems,addressing problem,addressed problem,address problem,address problem,address problems,address problem,addressing problems,addressing problem,address problem,addressing problem,addressing problem,address problems,address problem,addresses problem,address problem,address problem,address problem,address problems,addressing problems,addresses problem,address problem,addressed problem,address problem,addressed problem,addressing problem,address problem,address problems,addressing problem,addressed problems,addressing problems,addressing problem,address problems,addressed problem,address problem,addresses problem,address problem,addressed problem,addressed problem,address problems,address problems,address problem,address problem,addressing problems,address problem	8	address problems problems,address problem,problem addressing,problem problem addressed,have to address problem,address address problem address,address address problems address,address address problem address,addressing addressing addressing problems,addressing addressing problem,address problem,addressing problem problem,addressing addressing problem,address problems,address problem address,addresses problem problem,address address problem problem problem,address address problem problem problem problem address,problem address,address address problem address,address problems problems,problems addressing addressing addressing,addresses addresses addresses problem,address problem problem address,problem addressed,address problem problem,has addressed problem,problem addressing addressing,addressed problems addressed be,problem address address,address address problems address,addressing problem problem,problems addressed addressed addressed addressed be,addressing problems,are addressing addressing addressing problem problem,address address address problems address,will be addressed problem,address problem,address problem address,address address problems address,addresses addresses problem problem,address address address problem problem address address,problem be addressed,addressed addressed addressed problem addressed be,address address address address problems,address address problems address,address problem,address problem problem,addressing addressing addressing problems,problem address address,addressing problems problems,problem address,problem be addressed,problem be addressed,address problem address address,will address problems address,address address problems problems,addressed problems addressed has,address problem address,address problem problem,address problems problems,address address address problems,address problem,problems are addressed,problem addressed,address address problem problem,problem is being addressed,address address problem problem,addresses addresses addresses addresses problem,address problem,address problem problem,problems be addressed,address problem problem,addressing addressing problems problems,address problems address,addressing problems,address address problems problems,address address problems address address,problem address address,problem be addressed,address address address address,problem address,address problem,problem be addressed,problems be addressed addressed addressed,problems address,problems problems address address address,addresses addresses problem problem,problems be addressed addressed addressed addressed addressed addressed,address problems,addressing problems problems,addressing addressing problem problem,problem address,addressing problems problems addressing,problems be addressed addressed addressed,address address problem,address address problems,problem will be addressed,address problem address,address address problems problems,address problems problems,problem address address,address problems problems,problems addressing,address problems problems,address problem,address problems,addressing problems,be addressed addressed problems,problems address,be problems addressed addressed addressed,problems be addressed,addressing problems,addressing addressing problems,address address,address address problems,address address problem problem,problems address address address,address address address address,address problems address,addressing addressing addressing problem,problem are addressing,problem problem address address,address address problem,address address problems,addressing problems problems,address address problem problem,address address problem,problems addressing addressing,address address address problems,address problem,address problem,address address address problems,address address address problem,address problems address,are addressing addressing addressing problem addressing,problem address address address,problems address address address,address address problems address address,problems address,address problems,addressing problem,addressed problems,address problem problem,problem addressing addressing addressing,address address problems address,address address address problem,problem be addressed,problems address address address,address problems problems,problem has been addressed,problem address address address,addressing addressing problems,address problem problem,address address problems address,address address problems address,address problems problems,address problem problem address,problem address address address address,will have addressed addressed problems problems addressed,problem address,problem address,addressing addressing problem problem,problem address,addressing problem problem addressing,problem problem address,problems will be addressed,addressed addressed problem,problem address,address address problems address,address problems,address address address problem,address problem,addressing problems,addressing problems problems,address problem,problem address,problem address,addressing addressing problem problem,address problems,addresses problems problems addresses,address address problem problem address,problem problem will be addressed,address problems problems address,address address problem problem,address problems,address problems,address problems,problems address,address problem,address address problems,address problems,problem problem,address problems,problem address,address problems address,address problem problem,problem be addressed,address address problems address,addressing problem problem,address problems,address problem,address problems,address problem,address problems,address problem,will be addressed addressed problem addressed,address address problems address,addressing addressing problem,address address address problem,address problems,address problems,problems problems,address address problem,will address problems problems address,problem be addressed,address address address problem address,address address address problems problems,problem be addressed,address address problem address,be addressed addressed problem,problem address address,problem address address,problems are being addressed,address problem,address address problems address,problems be addressed,problem be addressed,addressing problems problems,problem be addressed,address problem,address problems,problem address,addresses problems problems addresses,problem address address address,problems address,addressing problems addressing,problem be addressed,problem be addressed,address address problems address,address problems problems,addressed addressed problem,address address problem problem address,problem address,does address problem problem,addressing addressing addressing problem,problem address,have addressed problem,problems addressed,address problems,addresses problem problem problem,problems address address address address,address address problem problem address,address address problem problem,problems be addressed addressed,address address address problem problem,does address address address address,address problems problems,are problem addressing,be problem problem addressed,address problem problem,address address problem problem,address address problems problems,address address problem problem,addressing addressing addressing problems,addressing problem problem,address problem problem,addressing problem problem,addressing problem problem,address address address problems problems,address address problem problem,problem problem problem,address address address problem problem,address problem problem,problem address address,address problems problems,problems addressing addressing,addresses addresses addresses problem problem,address address problem problem,be addressed addressed addressed problem problem,address problem problem,addressed problem problem,addressing addressing problem,problem address address address,address address problems,addressing problem problem,problems be addressed addressed addressed addressed,addressing problems,are addressing addressing addressing addressing problem,address address address problems,will be addressed problem,address address problem,addresses addresses problem problem,address address address problem problem address,problem problem be addressed,addressed addressed be addressed problem,address address address problems,address address address problems,address problem,address problem problem,addressing problems problems,problem address address address	114	Lösung der Probleme,anzugehen Problem,Problem angehen,dieses Problem angehen,muss muss angehen Problem,sich dieses Problems anzunehmen,sich der probleme angenommen,sich dieses Problems angenommen,beschäftigt sich mit Probleme,Bewältigung dieses Problems,anpacken Problem,Lösung dieses Problems,Behandlung dieses Themas,Lösung Probleme,uns Problem widmen,Lösung des Problems,Lösung für dieses Problem finden,bei der Suche nach einer Lösung ansetzen,Problem Lösung,uns mit Problem auseinandersetzen,Lösung der Probleme,problemen Priorität einräumen wird,bezieht sich auf Problem,sich des Problems annehmen,Problem greift,Lösung des Problems,hat angesprochen Problem,Problem aufgeworfen